id|brand_id|hidden|merge_id|title|alias|alias_2|category|company|company_english|address|approval|state|approval_date|validity_date|license|remark3|content|skills|keywords_en|keywords_cn|explainz|flag|record_num|record_date|is_record|actual_company|actual_company_address|data_type|china_company|china_address|country_en|country_cn|instruction_en|instruction_cn|cname|remark|processid|mid|new_goods_title|cps|price|capacity|sell_price|sell_capacity|hidden_skin|cps_type|price_unit|new_category_ids|inci_title_en|inci_title_cn|target_market|registered_year|registered_month|parent_id|claim_ids|create_stamp|update_stamp|image|add_tag|group_id|is_main_goods|import_export|packaging|sda_approval_status|bevol_claim_ids
2|0|0|0|"黛蔻丝DAIKOUSI染发膏（2.0）"|""|""|0|"广州御采堂化妆品有限公司"|" "|""|"国妆特字G20140906"|0|1413734400|""|""|""|""|""|""|""|""|0|""|0|0|""|""|0|""|""|""|""|""|""|""|""|""|"5fea1b2f9e12b721ee112560af90c4f1"|""|"1,33,9,21,168,225,5,338,3490,219,7285,6776,463,13"|""|""|0.00|""|0|""|0|"26,61,80,0,0,0,0"|""|""|"china"|"2014"|"201410"|0|"46"|1573289499|1601394244|""||1089709|0|0|""|2|"5255"
3|70504|0|0|"黛维莉祛斑美白洁面乳"|""|""|0|"广州奥蓓斯化妆品有限公司"|" "|""|"国妆特字G20120313"|0|1331827200|""|""|""|""|""|""|""|""|0|""|0|0|""|""|0|""|""|""|""|""|""|""|""|""|"7beb0fa63dfb42e18a239958279b0334"|""|"1,4,73,33,229,227,34,26,112,3,6,25,11,29,46,14,163,13,7285"|""|""|0.00|""|0|""|0|"404,62,76,0,0,0,0"|""|""|"china"|"2012"|"201203"|0||1573289499|1601394244|""||0|0|0|""|2|"6711"
4|70504|0|0|"黛维莉美白防晒乳SPF30"|""|""|0|"广州奥蓓斯化妆品有限公司"|" "|""|"国妆特字G20130812"|0|1376582400|""|""|""|""|""|""|""|""|0|""|0|0|""|""|0|""|""|""|""|""|""|""|""|""|"1a7f1c060219e7f461ea771a0b111789"|""|"1,38,4,81,21,71,26,1391,92,286,3775,33,3,6,25,11,29,46,14,7285,105,129,50,13"|""|""|0.00|""|0|""|0|"11,0,76,0,0,0,102"|""|""|"china"|"2013"|"201308"|0|"19"|1573289499|1601394244|""||0|0|0|""|2|"5223,6711"
6|70596|0|0|"黛诗涵祛斑精华霜"|""|""|0|"广州市诗慧芬化妆品有限公司"|" "|""|"国妆特字G20140926"|0|1413734400|""|""|""|""|""|""|""|""|0|""|0|0|""|""|0|""|""|""|""|""|""|""|""|""|"47a6ae898a98d1612673d90271100aca"|""|"1,21,5077,5,177,2,33,725,9,227,129,5707,5788,19,11,7285,74,6,18"|""|""|0.00|""|0|""|0|"8,62,80,0,0,0,0"|""|""|"china"|"2014"|"201410"|0||1573289499|1602683916|""||918879|0|0|""|2|"6711"
7|70596|0|0|"黛诗涵美白嫩肤面膜"|""|""|0|"广州市诗慧芬化妆品有限公司"|" "|""|"国妆特字G20140927"|0|1413734400|""|""|""|""|""|""|""|""|0|""|0|0|""|""|0|""|""|""|""|""|""|""|""|""|"423c4aad290ce55eea9a977002fc397c"|""|"1,9,33,5077,5,177,725,227,229,5707,129,5788,11,19,6,7285"|""|""|0.00|""|0|""|0|"22,62,0,0,0,0,0"|""|""|"china"|"2014"|"201410"|0||1573289499|1602683916|""||920924|0|0|""|2|"6711"
10|0|0|0|"黛尼美染发膏(自然黑)"|""|""|0|"广东顺德黛尼美日用化妆品科技有限公司"|" "|""|"国妆特字G20140691"|0|1409068800|""|""|""|""|""|""|""|""|0|""|0|0|""|""|0|""|""|""|""|""|""|""|""|""|"d303eaac1c3eb5d4cc65ce4c73b462bb"|""|"1,33,168,73,9,225,338,4274,219,7285,6776,463,13"|""|""|0.00|""|0|""|0|"26,61,80,0,0,0,0"|""|""|"china"|"2014"|"201408"|0|"46"|1573289499|1601394244|""||1115343|0|0|""|2|"5255"
13|0|0|0|"黛露净白祛斑霜"|""|""|0|"熊津豪威生活用品(中国)有限公司"|" "|""|"国妆特字G20130235"|0|1363536000|""|""|""|""|""|""|""|""|0|""|0|0|""|""|0|""|""|""|""|""|""|""|""|""|"1e1364cbffad62d5f108245a2d07c786"|""|"1,2,81,21,602,1235,380,79,227,33,4,348,136,112,71,144,5,115,3129,137,16012,8,193,4916,38,14,7,19,191,6,49,13,9,3433,4225,5213,4246,50,11,11500,1661,3918,6053,6296,6002,260,18"|""|""|0.00|""|0|""|0|"8,62,80,0,0,0,0"|""|""|"china"|"2013"|"201303"|0||1573289499|1601394244|""||1506192|1|0|""|2|"6711"
14|0|0|0|"黛露净白保湿精华霜"|""|""|0|"熊津豪威生活用品(中国)有限公司"|" "|""|"国妆特字G20111052"|0|1322496000|""|""|""|""|""|""|""|""|0|""|0|0|""|""|0|""|""|""|""|""|""|""|""|""|"5f1e0983995504d42b7c80d49eb8c52d"|""|"1,2,1235,4,356,81,21,567,585,79,33,71,144,1661,3918,6053,6296,6002,13,9,3433,4225,5213,4246,602,5,115,16012,26,203,348,136,112,38,1156,191,50,6,7,5598,3,29,25,11,46,11500,301,84,19,5696,14,86,18"|""|""|0.00|""|0|""|0|"8,62,80,0,0,0,0"|""|""|"china"|"2011"|"201111"|0|"1"|1574316844|1601394244|""||0|0|0|""|2|"5203,6711"
17|0|0|0|"魅缇美白祛斑霜"|""|""|0|"广州莱倩化妆品有限公司"|" "|""|"国妆特字G20140698"|0|1551801600|""|""|""|""|""|""|""|""|0|""|0|0|""|""|0|""|""|""|""|""|""|""|""|""|"32750aa7e5e273d751b8b68add07a7e5"|""|"1,39,4691,15,32,28,238,9,4,33,196,5,229,79,71,4131,2,5788,50,6,11,3322,49,19"|""|""|0.00|""|0|""|0|"8,62,80,0,0,0,0"|""|""|"china"|"2019"|"201903"|0||1573289499|1601394244|""||859944|1|0|""|2|"6711"
19|0|0|0|"鲜肌脱毛乳"|""|""|0|"广州杨森生物科技有限公司"|" "|""|"国妆特字G20140016"|0|1390406400|""|""|""|""|""|""|""|""|0|""|0|0|""|""|0|""|""|""|""|""|""|""|""|""|"2f730e1e87a6df84b5fbb921bbef6943"|""|"1,9,5395,39,73,33,5,247,277,86,129,13,50,11,6,14,7285"|""|""|0.00|""|0|""|0|"412,87,76,0,0,0,0"|""|""|"china"|"2014"|"201401"|0|"239"|1573289499|1601394244|""||0|0|0|""|2|"5277"
20|0|0|0|"魅力湾净味露"|""|""|0|"广州杨森生物科技有限公司"|" "|""|"国妆特字G20130642"|0|1373904000|""|""|""|""|""|""|""|""|0|""|0|0|""|""|0|""|""|""|""|""|""|""|""|""|"041b05ada6e82852e1192f0d6414f83a"|""|"1,1266,16,4,4691,28,32,15,9,74,7285"|"98"|"45ml"|0.00|""|0|""|1|"9,87,78,0,0,0,0"|""|""|"china"|"2013"|"201307"|0||1573289499|1602683916|""||0|0|0|"45ml"|2|"0"
21|0|0|0|"魅力密码美白防晒霜"|""|""|0|"广州市嘉梦化妆品有限公司"|" "|""|"国妆特字G20121089"|0|1345478400|""|""|""|""|""|""|""|""|0|""|0|0|""|""|0|""|""|""|""|""|""|""|""|""|"05f97e60cabeba3f5b9e56e1a7e14ae9"|""|"1,73,4,38,693,33,481,5,119,26,129,14,7285,6,11,19"|""|""|0.00|""|0|""|0|"11,0,80,0,0,0,0"|""|""|"china"|"2012"|"201208"|0|"19"|1573289499|1601394244|""||0|0|0|""|2|"5223,6711"
23|0|0|0|"魅力彩发膏（浅棕色）"|""|""|0|"广州温雅日用化妆品有限公司"|" "|""|"国妆特字G20110278"|0|1430668800|""|""|""|""|""|""|""|""|0|""|0|0|""|""|0|""|""|""|""|""|""|""|""|""|"a468912967a332fd0b7cde3f68fd0a09"|""|"1,1492,65,168,9,3344,2343,77,219,7285,158,13,338,105,4646,2838,3044"|""|""|0.00|""|0|""|0|"26,61,80,0,0,0,0"|""|""|"china"|"2015"|"201505"|0|"46"|1574316844|1601394244|""||0|0|0|""|2|"5255"